DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,% CHG,CHANGE
5/21/2014,4.5775,4.6175,4.5325,4.56,21671200,0,0
5/22/2014,4.55,4.605,4.55,4.58,13036400,0.438596491,0.02
5/23/2014,4.605,4.645,4.5775,4.6225,18265600,0.927947598,0.0425
5/27/2014,4.65,4.705,4.635,4.705,20968000,1.784748513,0.0825
5/28/2014,4.7225,4.775,4.6775,4.745,22467600,0.850159405,0.04
5/29/2014,4.7425,4.7825,4.7275,4.7375,17188400,-0.158061117,-0.0075
5/30/2014,4.7375,4.7625,4.7125,4.75,23912800,0.263852243,0.0125
6/2/2014,4.765,4.795,4.695,4.735,18150000,-0.315789474,-0.015
6/3/2014,4.745,4.75,4.6525,4.715,24321200,-0.422386484,-0.02
6/4/2014,4.7025,4.755,4.7,4.72,16123600,0.106044539,0.005
6/5/2014,4.7275,4.755,4.7,4.74,18869600,0.423728814,0.02
6/6/2014,4.7625,4.8,4.745,4.7575,16105200,0.369198312,0.0175
6/9/2014,4.7525,4.8075,4.72,4.7625,24745600,0.105097215,0.005
6/10/2014,4.745,4.81,4.725,4.7875,21760800,0.524934383,0.025
6/11/2014,4.77,4.8625,4.77,4.85,26622800,1.305483029,0.0625
6/12/2014,4.85,4.9025,4.8075,4.88,33714800,0.618556701,0.03
6/13/2014,4.93,4.9325,4.8375,4.885,22785200,0.102459016,0.005
6/16/2014,4.8625,4.9025,4.8275,4.87,19862000,-0.307062436,-0.015
6/17/2014,4.875,4.9225,4.85,4.9025,15760800,0.667351129,0.0325
6/18/2014,4.89,4.92,4.845,4.8975,21553600,-0.101988781,-0.005
6/19/2014,4.8075,4.8325,4.75,4.785,47459200,-2.297090352,-0.1125
6/20/2014,4.7975,4.815,4.695,4.7325,35314800,-1.097178683,-0.0525
6/23/2014,4.67,4.68,4.615,4.6775,41420000,-1.16217644,-0.055
6/24/2014,4.67,4.7075,4.585,4.605,27578000,-1.549973276,-0.0725
6/25/2014,4.6175,4.655,4.575,4.6525,21542000,1.031487514,0.0475
6/26/2014,4.6525,4.655,4.575,4.59,25690800,-1.343363783,-0.0625
6/27/2014,4.585,4.6225,4.5575,4.595,30282000,0.108932462,0.005
6/30/2014,4.5775,4.6475,4.5775,4.635,18051200,0.870511425,0.04
7/1/2014,4.63,4.715,4.615,4.6875,32118000,1.132686084,0.0525
7/2/2014,4.67,4.69,4.6425,4.67,17928400,-0.373333333,-0.0175
7/3/2014,4.6275,4.725,4.6275,4.7125,13689200,0.91006424,0.0425
7/7/2014,4.72,4.7225,4.6675,4.675,12749600,-0.795755968,-0.0375
7/8/2014,4.6625,4.6825,4.5925,4.6375,22194000,-0.802139037,-0.0375
7/9/2014,4.6775,4.7975,4.6425,4.7775,38766800,3.018867925,0.14
7/10/2014,4.6875,4.7725,4.65,4.7525,26630800,-0.523286238,-0.025
7/11/2014,4.7575,4.7775,4.74,4.7625,19118800,0.210415571,0.01
7/14/2014,4.7825,4.835,4.765,4.8225,27263600,1.25984252,0.06
7/15/2014,4.83,4.855,4.7975,4.8425,39544000,0.414722654,0.02
7/16/2014,4.8625,4.9,4.81,4.8375,31972800,-0.103252452,-0.005
7/17/2014,4.7825,4.875,4.7825,4.825,32483200,-0.258397933,-0.0125
7/18/2014,4.725,4.7625,4.6025,4.61,56781600,-4.455958549,-0.215
7/21/2014,4.5925,4.67,4.5925,4.6375,24336400,0.596529284,0.0275
7/22/2014,4.6725,4.6975,4.6075,4.6175,29881600,-0.431266846,-0.02
7/23/2014,4.62,4.6225,4.515,4.52,29735200,-2.111532214,-0.0975
7/24/2014,4.545,4.5575,4.495,4.5275,25457600,0.165929204,0.0075
7/25/2014,4.5125,4.5225,4.44,4.4475,26613200,-1.766979569,-0.08
7/28/2014,4.4675,4.4675,4.355,4.43,33035200,-0.393479483,-0.0175
7/29/2014,4.4325,4.505,4.43,4.445,21797200,0.338600451,0.015
7/30/2014,4.4725,4.5325,4.46,4.52,24618400,1.687289089,0.075
7/31/2014,4.465,4.5,4.3675,4.375,40188000,-3.207964602,-0.145
8/1/2014,4.375,4.4475,4.36,4.4225,21988400,1.085714286,0.0475
8/4/2014,4.4175,4.455,4.39,4.4125,24172400,-0.22611645,-0.01
8/5/2014,4.4,4.48,4.3625,4.415,29813600,0.056657224,0.0025
8/6/2014,4.385,4.465,4.3525,4.41,22345600,-0.113250283,-0.005
8/7/2014,4.4475,4.4875,4.335,4.365,40769600,-1.020408163,-0.045
8/8/2014,4.555,4.775,4.555,4.75,89434800,8.820160367,0.385
8/11/2014,4.755,4.775,4.7125,4.725,34462400,-0.526315789,-0.025
8/12/2014,4.7225,4.75,4.6725,4.725,29615200,0,0
8/13/2014,4.7325,4.7925,4.7025,4.7525,25659600,0.582010582,0.0275
8/14/2014,4.77,4.77,4.68,4.7,25599200,-1.104681746,-0.0525
8/15/2014,4.715,4.7875,4.67,4.76,36979600,1.276595745,0.06
8/18/2014,4.78,4.83,4.7325,4.825,28407600,1.365546218,0.065
8/19/2014,4.805,4.8675,4.7875,4.8425,24826000,0.362694301,0.0175
8/20/2014,4.825,4.8475,4.8,4.8125,22146800,-0.619514713,-0.03
8/21/2014,4.8,4.825,4.76,4.7675,27279600,-0.935064935,-0.045
8/22/2014,4.7625,4.81,4.7325,4.77,25122400,0.052438385,0.0025
8/25/2014,4.79,4.8225,4.7675,4.7775,15338000,0.157232704,0.0075
8/26/2014,4.79,4.8725,4.7725,4.8625,26963600,1.779173208,0.085
8/27/2014,4.8325,4.87,4.8,4.8075,18297200,-1.131105398,-0.055
8/28/2014,4.7975,4.8575,4.7825,4.8475,17970400,0.832033281,0.04
8/29/2014,4.865,4.8725,4.8125,4.8625,20793200,0.309437855,0.015
9/2/2014,4.875,4.875,4.83,4.875,19263600,0.257069409,0.0125
9/3/2014,4.9,4.9375,4.8675,4.92,25945600,0.923076923,0.045
9/4/2014,4.9125,5.0375,4.91,5.0075,49183200,1.778455285,0.0875
9/5/2014,5.0025,5.025,4.96,4.9925,25379200,-0.299550674,-0.015
9/8/2014,4.9875,4.9975,4.9275,4.9475,31928800,-0.901352028,-0.045
9/9/2014,4.925,4.9575,4.88,4.885,19858800,-1.263264275,-0.0625
9/10/2014,4.9125,4.92,4.8575,4.9025,17237600,0.358239509,0.0175
9/11/2014,4.8675,4.885,4.8,4.8525,25072000,-1.019887812,-0.05
9/12/2014,4.8825,4.8825,4.775,4.78,26253600,-1.494075219,-0.0725
9/15/2014,4.795,4.8025,4.695,4.715,29415200,-1.359832636,-0.065
9/16/2014,4.7025,4.81,4.6875,4.785,21993600,1.484623542,0.07
9/17/2014,4.7725,4.8325,4.75,4.7875,17358400,0.052246604,0.0025
9/18/2014,4.8175,4.865,4.8025,4.86,21960400,1.514360313,0.0725
9/19/2014,4.875,4.88,4.7625,4.77,60131600,-1.851851852,-0.09
9/22/2014,4.8675,4.8675,4.7175,4.7225,22146400,-0.995807128,-0.0475
9/23/2014,4.6975,4.755,4.68,4.7025,19614400,-0.4235045,-0.02
9/24/2014,4.7,4.745,4.695,4.73,15959200,0.584795322,0.0275
9/25/2014,4.725,4.7375,4.6175,4.6275,29844000,-2.167019027,-0.1025
9/26/2014,4.6425,4.6725,4.6225,4.6375,24118800,0.216099406,0.01
9/29/2014,4.6,4.6625,4.555,4.63,20854000,-0.161725067,-0.0075
9/30/2014,4.61,4.645,4.5575,4.6125,27720400,-0.377969762,-0.0175
10/1/2014,4.62,4.6525,4.555,4.5675,35097600,-0.975609756,-0.045
10/2/2014,4.56,4.5825,4.4425,4.5475,28899600,-0.4378763,-0.02
10/3/2014,4.575,4.6375,4.5575,4.5575,23914000,0.219901045,0.01
10/6/2014,4.575,4.6125,4.5,4.53,19903200,-0.603400987,-0.0275
10/7/2014,4.51,4.555,4.4775,4.4825,30189600,-1.048565121,-0.0475
10/8/2014,4.4775,4.5875,4.4425,4.565,26017200,1.840490798,0.0825
10/9/2014,4.545,4.55,4.44,4.4775,30695600,-1.916757941,-0.0875
10/10/2014,4.4425,4.4575,4.21,4.2125,69137600,-5.918481295,-0.265
10/13/2014,4.24,4.325,4.1925,4.1975,39762800,-0.356083086,-0.015
10/14/2014,4.255,4.4125,4.23,4.295,37662000,2.322811197,0.0975
10/15/2014,4.2325,4.3825,4.205,4.36,40442800,1.51338766,0.065
10/16/2014,4.2825,4.4125,4.2725,4.3625,35111600,0.05733945,0.0025
10/17/2014,4.415,4.465,4.3375,4.355,29071600,-0.171919771,-0.0075
10/20/2014,4.355,4.4325,4.325,4.3925,20033600,0.861079219,0.0375
10/21/2014,4.425,4.585,4.4125,4.58,35109200,4.268639727,0.1875
10/22/2014,4.5725,4.5875,4.4725,4.4725,23951200,-2.347161572,-0.1075
10/23/2014,4.55,4.605,4.5175,4.5725,21447600,2.23588597,0.1
10/24/2014,4.6,4.6475,4.5725,4.62,21015600,1.038819027,0.0475
10/27/2014,4.6175,4.64,4.5675,4.6225,14509200,0.054112554,0.0025
10/28/2014,4.61,4.7375,4.605,4.7325,19258000,2.379664684,0.11
10/29/2014,4.7125,4.74,4.66,4.7025,16834000,-0.633914422,-0.03
10/30/2014,4.69,4.71,4.6125,4.6725,17026000,-0.637958533,-0.03
10/31/2014,4.78,4.8875,4.755,4.885,25631600,4.54788657,0.2125
11/3/2014,4.9975,5.015,4.9425,4.9675,30873200,1.688843398,0.0825
11/4/2014,5,5.05,4.9175,5.0325,36019600,1.308505284,0.065
11/5/2014,5.0625,5.065,4.995,5.0325,33565200,0,0
11/6/2014,5.0425,5.0625,4.965,5.055,39408800,0.44709389,0.0225
11/7/2014,5.1125,5.1725,4.8975,4.9475,45080000,-2.126607319,-0.1075
11/10/2014,4.9425,5.0375,4.93,5.005,29338800,1.162203133,0.0575
11/11/2014,4.975,5.0025,4.9025,4.945,21299200,-1.198801199,-0.06
11/12/2014,4.9275,4.94,4.845,4.9125,20458400,-0.657229525,-0.0325
11/13/2014,4.93,4.9375,4.8475,4.8875,22532800,-0.508905852,-0.025
11/14/2014,4.8925,4.9475,4.845,4.9475,16024800,1.227621483,0.06
11/17/2014,4.925,4.9775,4.8925,4.925,15873200,-0.454775139,-0.0225
11/18/2014,4.9275,5.055,4.915,5.0425,20777200,2.385786802,0.1175
11/19/2014,5.025,5.04,4.95,5.0025,24030000,-0.793257313,-0.04
11/20/2014,4.9675,5.09,4.9525,5.085,22096800,1.649175412,0.0825
11/21/2014,5.13,5.1375,5.07,5.1125,19897600,0.540806293,0.0275
11/24/2014,5.125,5.1675,5.105,5.145,13600400,0.635696822,0.0325
11/25/2014,5.135,5.18,5.125,5.1425,19024000,-0.048590865,-0.0025
11/26/2014,5.1125,5.235,5.11,5.23,21926400,1.701507049,0.0875
11/28/2014,5.2475,5.2725,5.2,5.2425,12483200,0.239005736,0.0125
12/1/2014,5.22,5.25,5.1375,5.145,19006000,-1.859799714,-0.0975
12/2/2014,5.14,5.175,5.0925,5.1525,24595200,0.145772595,0.0075
12/3/2014,5.1775,5.2875,5.1625,5.285,28442400,2.5715672,0.1325
12/4/2014,5.2775,5.2975,5.2025,5.2375,18533200,-0.898770104,-0.0475
12/5/2014,5.24,5.295,5.2375,5.2675,16568000,0.572792363,0.03
12/8/2014,5.26,5.3125,5.1575,5.2,22694400,-1.28144281,-0.0675
12/9/2014,5.1675,5.195,5.09,5.1825,23944800,-0.336538462,-0.0175
12/10/2014,5.1675,5.1875,5.0625,5.0675,20436400,-2.219006271,-0.115
12/11/2014,5.0975,5.1325,5.055,5.065,13565200,-0.049333991,-0.0025
12/12/2014,4.9975,5.0425,4.9025,4.9075,32396400,-3.109575518,-0.1575
12/15/2014,4.965,5.055,4.8775,4.8925,25469600,-0.30565461,-0.015
12/16/2014,4.8875,4.965,4.835,4.8375,18530800,-1.124169647,-0.055
12/17/2014,4.935,5.0425,4.775,5.035,34559600,4.082687339,0.1975
12/18/2014,5.0975,5.1575,5.0075,5.055,22615600,0.397219464,0.02
12/19/2014,5.09,5.125,5.0425,5.105,32552800,0.989119683,0.05
12/22/2014,5.1,5.195,5.0825,5.195,14897600,1.762977473,0.09
12/23/2014,5.235,5.26,5.1575,5.1625,10928000,-0.62560154,-0.0325
12/24/2014,5.175,5.1825,5.1375,5.1425,4564400,-0.387409201,-0.02
12/26/2014,5.1425,5.175,5.13,5.1475,5263600,0.097228974,0.005
12/29/2014,5.1325,5.175,5.1075,5.14,8294400,-0.145701797,-0.0075
12/30/2014,5.105,5.13,5.085,5.0925,11212000,-0.924124514,-0.0475
12/31/2014,5.1,5.1275,4.9975,5.0125,16630000,-1.570937653,-0.08
1/2/2015,5.0325,5.07,4.9525,5.0325,11368000,0.399002494,0.02
1/5/2015,5.0325,5.0475,4.925,4.9475,19795200,-1.689021361,-0.085
1/6/2015,4.955,4.96,4.7925,4.7975,19776400,-3.03183426,-0.15
